Observation time UTC,Air temperature (dry bulb) [Deg C],Wet bulb temperature [Deg C],Dew point temperature [Deg C],Relative humidity [%],Data Source (dry bulb),Data Source (wet bulb)
1942-03-31T21:00:00Z,21.1,19.8,19.1,88.1,D,D
1942-04-01T21:00:00Z,20.6,19.9,19.5,93.5,D,D
1942-04-02T21:00:00Z,21.1,20.2,19.7,91.7,D,D
1942-04-03T21:00:00Z,20.2,19.3,18.8,91.5,D,D
1942-04-04T21:00:00Z,22.1,20.4,19.5,85,D,D
1942-04-05T21:00:00Z,21.8,20.2,19.3,85.7,D,D
1942-04-06T21:00:00Z,18.4,18.3,18.2,99,D,D
1942-04-07T21:00:00Z,19.4,17.9,16.9,85.7,D,D
1942-04-08T21:00:00Z,15.9,12.9,10.2,69.1,D,D
1942-04-09T21:00:00Z,15.9,14.4,13.2,84.2,D,D
1942-04-10T21:00:00Z,15.9,13.9,12.3,79.1,D,D
1942-04-11T21:00:00Z,15.9,14.9,14.2,89.4,D,D
1942-04-12T21:00:00Z,15.2,13.2,11.5,78.6,D,D
1942-04-13T21:00:00Z,18.4,17.8,17.4,94,D,D
1942-04-14T21:00:00Z,17.8,17.7,17.6,99,D,D
1942-04-15T21:00:00Z,18.9,18.8,18.7,99,D,D
1942-04-16T21:00:00Z,18.9,17.2,16.1,83.6,D,D
1942-04-17T21:00:00Z,16.7,16,15.5,92.7,D,D
1942-04-18T21:00:00Z,15.3,12,8.9,65.5,D,D
1942-04-19T21:00:00Z,15.3,14.3,13.5,89.2,D,D
1942-04-20T21:00:00Z,15.6,14.7,14,90.3,D,D
1942-04-21T21:00:00Z,13.7,13.2,12.8,94.2,D,D
1942-04-22T21:00:00Z,12.8,12.6,12.4,97.6,D,D
1942-04-23T21:00:00Z,14.1,13.5,13,93.2,D,D
1942-04-24T21:00:00Z,16.2,13.3,10.8,70.4,D,D
1942-04-25T21:00:00Z,15.1,12.7,10.6,74.4,D,D
1942-04-26T21:00:00Z,14.9,13.6,12.5,85.8,D,D
1942-04-27T21:00:00Z,15.2,13.1,11.3,77.6,D,D
1942-04-28T21:00:00Z,13.4,11.1,8.9,74,D,D
1942-04-29T21:00:00Z,9.4,8.9,8.4,93.3,D,D
1942-04-30T21:00:00Z,11.7,10.9,10.1,90.2,D,D
1942-05-01T21:00:00Z,15.2,12.5,10.1,71.4,D,D
1942-05-02T21:00:00Z,15.9,15.6,15.4,96.8,D,D
1942-05-03T21:00:00Z,12.3,11.7,11.2,92.8,D,D
1942-05-04T21:00:00Z,11.4,10.9,10.4,93.8,D,D
1942-05-05T21:00:00Z,15.9,15.5,15.2,95.7,D,D
1942-05-06T21:00:00Z,17.3,15.9,14.9,85.8,D,D
1942-05-07T21:00:00Z,18.4,16.7,15.5,83.4,D,D
1942-05-08T21:00:00Z,17,15.2,13.9,81.7,D,D
1942-05-09T21:00:00Z,15.2,14.3,13.6,90.2,D,D
1942-05-10T21:00:00Z,13.5,11.9,10.5,81.8,D,D
1942-05-11T21:00:00Z,14.2,12.9,11.8,85.5,D,D
1942-05-12T21:00:00Z,16.3,13.4,10.9,70.4,D,D
1942-05-13T21:00:00Z,11.6,11.2,10.8,95,D,D
1942-05-14T21:00:00Z,18.2,16.7,15.7,85.2,D,D
1942-05-15T21:00:00Z,18.8,16.2,14.3,75.3,D,D
1942-05-16T21:00:00Z,14.3,14.2,14.1,98.9,D,D
1942-05-17T21:00:00Z,13.7,13.1,12.6,93.1,D,D
1942-05-18T21:00:00Z,12.8,12.7,12.6,98.8,D,D
1942-05-19T21:00:00Z,16.4,16,15.7,95.8,D,D
1942-05-20T21:00:00Z,8.9,8.8,8.7,98.6,D,D
1942-05-21T21:00:00Z,12.3,12.3,12.3,100,D,D
1942-05-22T21:00:00Z,16.4,16.1,15.9,96.8,D,D
1942-05-23T21:00:00Z,14,9.8,5.1,54.8,D,D
1942-05-24T21:00:00Z,10.1,9.4,8.7,90.9,D,D
1942-05-25T21:00:00Z,13.3,10.3,7.2,66.3,D,D
1942-05-26T21:00:00Z,12,10.7,9.4,84.3,D,D
1942-05-27T21:00:00Z,7.4,6.1,4.4,81.4,D,D
1942-05-28T21:00:00Z,11.2,9.3,7.3,76.7,D,D
1942-05-29T21:00:00Z,14.3,10.9,7.4,63.3,D,D
1942-05-30T21:00:00Z,13.8,12.8,12,88.6,D,D
1942-05-31T21:00:00Z,10.2,10,9.8,97.4,D,D
1942-06-01T21:00:00Z,10.8,10.3,9.8,93.6,D,D
1942-06-02T21:00:00Z,10,10,10,100,D,D
1942-06-03T21:00:00Z,13,12.4,11.9,92.9,D,D
1942-06-04T21:00:00Z,10.6,10.2,9.8,94.9,D,D
1942-06-05T21:00:00Z,10,9.6,9.2,94.7,D,D
1942-06-06T21:00:00Z,10.6,10.5,10.4,98.7,D,D
1942-06-07T21:00:00Z,5.8,5.7,5.6,98.4,D,D
1942-06-08T21:00:00Z,10.9,10.7,10.5,97.5,D,D
1942-06-09T21:00:00Z,7.6,7.3,7,95.7,D,D
1942-06-10T21:00:00Z,12.9,10.8,8.7,75.8,D,D
1942-06-11T21:00:00Z,12.8,11.2,9.7,81.3,D,D
1942-06-12T21:00:00Z,10.7,10.1,9.5,92.3,D,D
1942-06-13T21:00:00Z,10.8,10.1,9.4,91.1,D,D
1942-06-14T21:00:00Z,7.2,7.1,7,98.5,D,D
1942-06-15T21:00:00Z,3.3,3.2,3.1,98.3,D,D
1942-06-16T21:00:00Z,3.6,3.4,3.1,96.6,D,D
1942-06-17T21:00:00Z,6.3,6.3,6.3,100,D,D
1942-06-18T21:00:00Z,9.4,8.8,8.2,92,D,D
1942-06-19T21:00:00Z,10.9,10.2,9.5,91.1,D,D
1942-06-20T21:00:00Z,10.1,9.3,8.5,89.6,D,D
1942-06-21T21:00:00Z,11.7,11.5,11.3,97.5,D,D
1942-06-22T21:00:00Z,12.9,12.8,12.7,98.8,D,D
1942-06-23T21:00:00Z,13.9,13.8,13.7,98.8,D,D
1942-06-24T21:00:00Z,14,12.8,11.8,86.5,D,D
1942-06-25T21:00:00Z,12.7,12.1,11.6,92.9,D,D
1942-06-26T21:00:00Z,12.4,10.8,9.2,81.1,D,D
1942-06-27T21:00:00Z,8.9,8.3,7.6,91.8,D,D
1942-06-28T21:00:00Z,14.4,11.6,8.9,69.6,D,D
1942-06-29T21:00:00Z,15.7,15.7,15.7,100,D,D
1942-06-30T21:00:00Z,15.4,15.3,15.2,98.9,D,D
1942-07-01T21:00:00Z,15,14.4,13.9,93.4,D,D
1942-07-02T21:00:00Z,14.9,14.7,14.6,97.8,D,D
1942-07-03T21:00:00Z,15.4,15.2,15.1,97.8,D,D
1942-07-04T21:00:00Z,16.4,15.6,15,91.6,D,D
1942-07-05T21:00:00Z,15.6,14.9,14.4,92.4,D,D
1942-07-06T21:00:00Z,14.2,11.9,9.8,74.7,D,D
1942-07-07T21:00:00Z,14.2,13.1,12.2,87.7,D,D
1942-07-08T21:00:00Z,5.6,5.4,5.1,96.9,D,D
1942-07-09T21:00:00Z,4.8,4.6,4.3,96.8,D,D
1942-07-10T21:00:00Z,4.8,4.7,4.6,98.4,D,D
1942-07-11T21:00:00Z,14.4,12.8,11.4,82.3,D,D
1942-07-12T21:00:00Z,15.9,15.9,15.9,100,D,D
1942-07-13T21:00:00Z,12.8,12.2,11.7,92.9,D,D
1942-07-14T21:00:00Z,13.3,11.3,9.4,77.2,D,D
1942-07-15T21:00:00Z,12.1,9.9,7.6,73.9,D,D
1942-07-16T21:00:00Z,6.7,6.2,5.6,92.5,D,D
1942-07-17T21:00:00Z,13.9,11.7,9.6,75.5,D,D
1942-07-18T21:00:00Z,5.6,5.4,5.1,96.9,D,D
1942-07-19T21:00:00Z,10.2,9.9,9.6,96.1,D,D
1942-07-20T21:00:00Z,14.4,13.9,13.5,94.4,D,D
1942-07-21T21:00:00Z,13.3,13.2,13.1,98.8,D,D
1942-07-22T21:00:00Z,8.5,8.5,8.5,100,D,D
